ShareClass ISIN,isin,name,Constituent Country,Constituent Currency ISO Code,weight_percentage,Constituent Rating,Constituent Main Exchange Name,Constituent Industry Classification Name,ticker
IE00BL25JP72,US11135F1012,BROADCOM INC,Vereinigte Staaten von Amerika,USD,4.83912053,,NASDAQ National Market System,Informationstechnologie,
IE00BL25JP72,US67066G1040,NVIDIA CORP,Vereinigte Staaten von Amerika,USD,4.2802356,B1,NASDAQ National Market System,Informationstechnologie,
IE00BL25JP72,US5949181045,MICROSOFT CORP,Vereinigte Staaten von Amerika,USD,4.24159758,Aaa,NASDAQ National Market System,Informationstechnologie,
IE00BL25JP72,US69608A1088,PALANTIR TECHNOLOGIES INC,Vereinigte Staaten von Amerika,USD,3.97692121,,New York Stock Exchange,Informationstechnologie,
IE00BL25JP72,US46625H1005,JPMORGAN CHASE & CO,Vereinigte Staaten von Amerika,USD,3.89445819,A2,New York Stock Exchange,Finanzen,
IE00BL25JP72,US3696043013,GENERAL ELECTRIC CO,Vereinigte Staaten von Amerika,USD,1.85930612,,New York Stock Exchange,Industrieunternehmen,
IE00BL25JP72,US02079K3059,ALPHABET INC,Vereinigte Staaten von Amerika,USD,1.75413967,Aa2,NASDAQ National Market System,Kommunikationsdienste,
IE00BL25JP72,US36828A1016,GE VERNOVA INC,Vereinigte Staaten von Amerika,USD,1.6905979500000001,,New York Stock Exchange,Industrieunternehmen,
IE00BL25JP72,US68389X1054,ORACLE CORP,Vereinigte Staaten von Amerika,USD,1.48919374,A1,New York Stock Exchange,Informationstechnologie,
IE00BL25JP72,US02079K1079,ALPHABET INC,Vereinigte Staaten von Amerika,USD,1.46034847,,NASDAQ National Market System,Kommunikationsdienste,
IE00BL25JP72,US03831W1080,APPLOVIN CORP,Vereinigte Staaten von Amerika,USD,1.23731321,,NASDAQ National Market System,Informationstechnologie,
IE00BL25JP72,ES0113900J37,BANCO SANTANDER SA,Spanien,EUR,1.2328505,Baa1,Mercado Continuo Espana,Finanzen,
IE00BL25JP72,US38141G1040,GOLDMAN SACHS GROUP INC,Vereinigte Staaten von Amerika,USD,1.23272118,A3,New York Stock Exchange,Finanzen,
IE00BL25JP72,US75513E1010,RTX CORP,Vereinigte Staaten von Amerika,USD,1.20353744,,New York Stock Exchange,Industrieunternehmen,
IE00BL25JP72,US0320951017,AMPHENOL CORP CLASS A,Vereinigte Staaten von Amerika,USD,1.1809395699999998,,New York Stock Exchange,Informationstechnologie,
IE00BL25JP72,US0079031078,ADVANCED MICRO DEVICES INC,Vereinigte Staaten von Amerika,USD,1.09676163,,NASDAQ National Market System,Informationstechnologie,
IE00BL25JP72,US17275R1023,CISCO SYSTEMS INC,Vereinigte Staaten von Amerika,USD,1.06935322,A1,NASDAQ National Market System,Informationstechnologie,
IE00BL25JP72,US5951121038,MICRON TECHNOLOGY INC,Vereinigte Staaten von Amerika,USD,1.03695505,Ba3,NASDAQ National Market System,Informationstechnologie,
IE00BL25JP72,GB00B63H8491,ROLLS-ROYCE HOLDINGS PLC,GroÃbritannien (UK),GBP,1.0309981,A2,London Stock Exchange,Industrieunternehmen,
IE00BL25JP72,NL0010273215,ASML HOLDING NV,Niederlande,EUR,0.95208133,Baa2,Euronext Amsterdam,Informationstechnologie,
IE00BL25JP72,US7707001027,ROBINHOOD MARKETS INC,Vereinigte Staaten von Amerika,USD,0.91969342,,NASDAQ National Market System,Finanzen,
IE00BL25JP72,DE000ENER6Y0,SIEMENS ENERGY AG,Deutschland,EUR,0.8876733499999999,,,Industrieunternehmen,
IE00BL25JP72,US1491231015,CATERPILLAR INC,Vereinigte Staaten von Amerika,USD,0.87509069,A2,New York Stock Exchange,Industrieunternehmen,
IE00BL25JP72,JP3435000009,SONY GROUP CORP,Japan,JPY,0.85558946,Ba1,Tokyo Stock Exchange,Nicht-BasiskonsumgÃ¼ter,
IE00BL25JP72,DE0007030009,RHEINMETALL AG,Deutschland,EUR,0.83936414,Ba1,XETRA,Industrieunternehmen,
IE00BL25JP72,US6174464486,MORGAN STANLEY,Vereinigte Staaten von Amerika,USD,0.8369630899999999,Baa1,New York Stock Exchange,Finanzen,
IE00BL25JP72,ES0113211835,BANCO BILBAO VIZCAYA ARGENTARIA SA,Spanien,EUR,0.828988,Baa2,Mercado Continuo Espana,Finanzen,
IE00BL25JP72,ES0144580Y14,IBERDROLA SA,Spanien,EUR,0.78541552,Baa1,Mercado Continuo Espana,Versorgungsunternehmen,
IE00BL25JP72,US3755581036,GILEAD SCIENCES INC,Vereinigte Staaten von Amerika,USD,0.74031826,Baa1,NASDAQ National Market System,Gesundheitswesen,
IE00BL25JP72,US5128073062,LAM RESEARCH CORP,Vereinigte Staaten von Amerika,USD,0.7264227600000001,,NASDAQ National Market System,Informationstechnologie,
IE00BL25JP72,GB0002875804,BRITISH AMERICAN TOBACCO,GroÃbritannien (UK),GBP,0.7202058,A3,London Stock Exchange,BasiskonsumgÃ¼ter,
IE00BL25JP72,CA8911605092,TORONTO DOMINION,Kanada,CAD,0.6942989,Aa1,Toronto Stock Exchange,Finanzen,
IE00BL25JP72,US4592001014,INTERNATIONAL BUSINESS MACHINES CORP,Vereinigte Staaten von Amerika,USD,0.6512063600000001,Aa3,New York Stock Exchange,Informationstechnologie,
IE00BL25JP72,IT0005239360,UNICREDIT,Italien,EUR,0.64970005,,Milan Stock Exchange,Finanzen,
IE00BL25JP72,US95040Q1040,WELLTOWER INC,Vereinigte Staaten von Amerika,USD,0.62546068,,New York Stock Exchange,Immobilien,
IE00BL25JP72,GB0005405286,HSBC HOLDINGS PLC,GroÃbritannien (UK),GBP,0.6105648499999999,Aa3,London Stock Exchange,Finanzen,
IE00BL25JP72,US4432011082,HOWMET AEROSPACE INC,Vereinigte Staaten von Amerika,USD,0.6082795999999999,,New York Stock Exchange,Industrieunternehmen,
IE00BL25JP72,JP3900000005,MITSUBISHI HEAVY INDUSTRIES LTD,Japan,JPY,0.5759033,Baa1,Tokyo Stock Exchange,Industrieunternehmen,
IE00BL25JP72,US22788C1053,CROWDSTRIKE HOLDINGS INC,Vereinigte Staaten von Amerika,USD,0.5622862799999999,,NASDAQ National Market System,Informationstechnologie,
IE00BL25JP72,CA0084741085,AGNICO EAGLE MINES LTD,Kanada,CAD,0.55449076,B1,Toronto Stock Exchange,Material,
IE00BL25JP72,FR0000073272,SAFRAN SA,Frankreich,EUR,0.5512114,,Euronext Paris,Industrieunternehmen,
IE00BL25JP72,JP3436100006,SOFTBANK GROUP CORP,Japan,JPY,0.53965027,Ba1,Tokyo Stock Exchange,Kommunikationsdienste,
IE00BL25JP72,CA7800871021,ROYAL BANK OF CANADA,Kanada,CAD,0.53913415,Aa3,Toronto Stock Exchange,Finanzen,
IE00BL25JP72,US58155Q1031,MCKESSON CORP,Vereinigte Staaten von Amerika,USD,0.53292865,Baa2,New York Stock Exchange,Gesundheitswesen,
IE00BL25JP72,JP3756600007,NINTENDO LTD,Japan,JPY,0.52657577,,Tokyo Stock Exchange,Kommunikationsdienste,
IE00BL25JP72,DE0005140008,DEUTSCHE BANK AG,Deutschland,EUR,0.5109456600000001,,XETRA,Finanzen,
IE00BL25JP72,US1729674242,CITIGROUP INC,Vereinigte Staaten von Amerika,USD,0.5100941,Baa2,New York Stock Exchange,Finanzen,
IE00BL25JP72,LU1778762911,SPOTIFY TECHNOLOGY SA,Luxemburg,USD,0.5011434,,New York Stock Exchange,Kommunikationsdienste,
